Papel,Cotação,P/L,Div.Yield,P/VP,ROIC,ROE,Patrim. Líq,PSR,Mrg Ebit,Mrg. Líq.,Liq. Corr.,Dív.Brut/ Patrim.,Cresc. Rec.5a,EV/EBIT,EV/EBITDA,P/EBIT,vpa,lpa,valor_justo_graham,potencial_graham,rank_dy,rank_roe,rank_roic,rank_potencial_graham,rank_pvp,rank_pl,rank_margem_liq,rank_cresc_receita_5a,rank_div_bruta_patrim,rank_liq_corrente,rank_margem_ebit,rank_ev_ebit,rank_ev_ebitda,rank_p_ebit,RANK_RESULTADO,segmento
TASA4,"15,53","6,38","8,99",186,"24,33","29,14","1058530000,0","9,1","19,51","14,27","1,55","0,43","29,51","5,24","4,87","4,66","0,0","0,0","0,0","0,0","33,0","29,5","17,5","69,0","55,0","42,5","41,5","10,5","27,5","38,5","55,5","39,0","53,0","56,0","516,66",
TRPL4,"21,85","6,08","4,86",82,"9,25","13,53","17506600000,0","26,32","55,02","44,28","1,93","0,5","12,41","7,23","7,17","4,78","26,57","3,6","46,39","112,31","76,0","85,0","68,0","24,0","14,5","36,0","4,0","52,0","35,5","31,0","4,0","71,0","76,0","57,0","581,78",Energia Elétrica
UNIP6,"77,34","10,26","8,93",308,"38,68","30,02","2609270000,0","12,82","26,24","12,53","2,0","0,5","25,15","4,87","4,23","4,89","25,12","7,54","65,28","-15,59","36,0","23,0","5,0","77,0","74,0","77,0","52,0","17,0","35,5","27,0","32,0","33,0","41,0","58,0","534,39",Químicos Diversos
CMIG3,"18,02","5,99","6,13",168,"16,35","28,07","23609100000,0","11,06","22,02","18,49","1,34","0,5","11,8","6,05","5,24","5,02","10,72","3,01","26,94","49,5","63,0","34,5","42,5","39,0","47,0","34,0","28,5","57,5","35,5","45,5","47,5","49,5","58,0","59,0","587,02",Energia Elétrica
KEPL3,"10,76","6,17","10,57",289,"43,61","46,85","668654000,0","11,92","23,58","19,31","1,93","0,23","34,62","4,77","4,4","5,06","3,72","1,74","12,07","12,17","24,0","7,0","3,0","64,0","73,0","37,0","27,0","3,0","23,0","31,0","41,0","31,0","44,0","60,0","413,06",Máq. e Equip. Industriais
UNIP5,"83,65","11,09","8,34",333,"38,68","30,02","2609270000,0","13,87","26,24","12,53","2,0","0,5","25,15","5,27","4,58","5,29","25,12","7,54","65,28","-21,96","41,0","23,0","5,0","80,0","76,0","79,0","52,0","17,0","35,5","27,0","32,0","40,0","45,5","61,0","558,29",Químicos Diversos
RANI3,"11,58","5,78","7,62",223,"19,49","38,49","1281240000,0","17,28","32,57","29,87","2,7","1,44","18,54","7,14","5,98","5,31","5,2","2,0","15,3","32,12","47,0","17,0","32,0","45,0","61,0","28,0","7,0","33,0","68,0","14,0","16,0","67,0","70,0","62,0","510,31",Embalagens
EQPA3,"6,42","7,88","14,03",372,"23,95","47,23","3812660000,0","15,34","28,19","19,48","1,55","1,34","16,73","6,88","5,93","5,44","1,73","0,82","5,65","-11,99","8,0","4,5","21,5","74,0","78,0","57,5","24,5","40,5","61,5","38,5","23,5","65,0","69,0","63,0","571,44",Energia Elétrica
CMIN3,"4,92","11,27","18,5",258,"28,49","22,89","10464600000,0","17,72","31,6","15,73","2,73","0,72","-17,59","5,55","4,58","5,61","1,91","0,44","4,35","-11,59","3,0","41,0","13,0","73,0","68,0","81,5","37,0","86,0","48,5","13,0","20,0","45,0","45,5","64,0","580,11",Minerais Metálicos
FESA4,"49,31","6,38","6,64",135,"25,57","21,19","3220380000,0","15,41","26,93","24,15","4,2","0,1","25,21","4,78","3,81","5,72","36,46","7,73","79,63","61,49","56,0","48,5","15,5","32,0","35,5","42,5","15,5","14,5","15,5","1,5","26,5","32,0","26,0","65,0","367,22",Siderurgia
CSUD3,"15,36","7,92","6,41",162,"21,84","20,49","395817000,0","11,96","20,35","15,11","1,18","0,21","6,77","6,02","3,84","5,87","9,47","1,94","20,33","32,36","59,0","51,0","24,0","44,0","45,0","59,0","39,0","79,0","19,5","56,0","54,0","48,0","29,0","66,0","612,37",Serviços Diversos
EQPA7,"7,0","8,59","12,87",406,"23,95","47,23","3812660000,0","16,73","28,19","19,48","1,55","1,34","16,73","7,37","6,35","5,93","1,73","0,82","5,65","-19,29","10,0","4,5","21,5","78,0","80,0","62,0","24,5","40,5","61,5","38,5","23,5","73,0","73,0","67,0","596,43",Energia Elétrica
POMO3,"4,26","5,8","8,78",124,"12,53","21,41","3250220000,0","6,38","10,71","10,89","2,13","0,74","7,51","7,53","6,28","5,96","3,43","0,74","7,56","77,46","37,0","46,5","61,5","28,0","31,0","29,0","60,5","73,5","51,0","23,0","68,5","75,0","71,0","68,0","661,46",Material Rodoviário
